Key,Short Name,Publication Year,Author,Title,Publication Title,Date,Study,Measure(s) of Walkability,ATS?,PA Type,MVPA?,Other PA,Other transport,Measure of PA,Ages,Sample Size,Country,Finding,Other Notes,Effect on ATS,Effect on PA,Consensus,Include?,Reason,
TP7BHGTM,Aibar 2015,2015,"Aibar, Alberto; Bois, Julien E.; Generelo, Eduardo; Bengoechea, Enrique Garcia; Paillard, Thierry; Zaragoza, Javier","Effect of weather, school transport, and perceived neighborhood characteristics on moderate to vigorous physical activity levels of adolescents from two european cities",ENVIRONMENT AND BEHAVIOR,2015-05,Evaluation and Promotion of Physical Activity,NEWS (self),self report,MVPA,,,Total PA (accelerometer),,14.33 (0.73),620,Spain; France,There were no significant associations between perceived walkability and MVPA,,-,Neutral,Neutral,yes,,
G5R8S687,Aznar 2024,2024,"Aznar, Susana; Jimenez-Zazo, Fabio; Romero-Blanco, Cristina; Gomez, Santiago F.; Homs, Clara; Warnberg, Julia; Medrano, Maria; Gusi, Narcis; Gonzalez-Gross, Marcela; Marin-Cascales, Elena; Gonzalez-Valeiro, Miguel angel; Serra-Majem, Lluis; Terrados, Nicolas; Tur, Josep A.; Segu, Marta; Lassale, Camille; Colom-Fernandez, Antoni; Labayen, Idoia; Sanchez-Gomez, Jesus; Alcaraz, Pedro Emilio; Sevilla-Sanchez, Marta; Zapico, Augusto G.; Herrera-Ramos, Estefania; Pulgar, Susana; Bibilonii, Maria del Mar; Sistac, Clara; Schroder, Helmut; Molina-Garcia, Javier","Walkability and socio-economic status in relation to walking, playing and sports practice in a representative Spanish sample of youth: The PASOS study",PLOS ONE,3/15/24,PASOS,Walk Score,,MVPA; organized sports; other PA; walking,self report,Total PA (self report); sports participation (self report),Walking (self report),,16-Aug,4092,Spain,"Walkability was associated with walking behavior, not with any other PA term including MVPA. SES was associated with sports participation and MVPA",,-,Neutral,Mixed,yes,,
3BDZZCSX,Bird 2022,2022,"Bird, Madeleine; Datta, Geetanjali D.; Chinerman, Deanna; Kakinami, Lisa; Mathieu, Marie-Eve; Henderson, Melanie; Barnett, Tracie A.",Associations of neighborhood walkability with moderate to vigorous physical activity: an application of compositional data analysis comparing compositional and non-compositional approaches,INTERNATIONAL JOURNAL OF BEHAVIORAL NUTRITION AND PHYSICAL ACTIVITY,5/18/22,Quebec Adipose and Lifestyle Investigation in Youth,Novel indicator,,,accelerometer,Light PA (accelerometer),,,10-Aug,409,Canada,"MVPA was significantly associated with walkability in girls only, not boys",,-,Mixed,Mixed,yes,,
4S89S5G5,Buck 2019,2019,"Buck, Christoph; Eiben, Gabriele; Lauria, Fabio; Konstabel, Kenn; Page, Angie; Ahrens, Wolfgang; Pigeot, Iris; on behalf of the IDEFICS and the I.Family consortia",Urban Moveability and physical activity in children: longitudinal results from the IDEFICS and I.Family cohort,International Journal of Behavioral Nutrition and Physical Activity,12/11/19,IDEFICS; I.Family,Moveability,No,MVPA; LPA,accelerometer,LPA (accelerometer),,"MVPA (accelerometer), LPA (accelerometer)",15-Mar,,Germany; Italy; Sweden,"Moveability index positively affected MVPA in girls, lessened decline in LPA for boys. Public open spaces seemed more important in childhood, while residential density and intersection density more important in adolescence.",,-,Positive,Positive,yes,,
6SSJPX65,Molina-García 2020,2020,"Molina-García, Javier; Campos, Sergio; García-Massó, Xavier; Herrador-Colmenero, Manuel; Gálvez-Fernández, Patricia; Molina-Soberanes, Daniel; Queralt, Ana; Chillón, Palma",Different neighborhood walkability indexes for active commuting to school are necessary for urban and rural children and adolescents,International Journal of Behavioral Nutrition and Physical Activity,9/29/20,,Novel Indicator,self report,,,,,ATS (self report),18-Jul,4593,Spain,"Street connectivity and residential density were positively related to ATS in urban children, but negatively related in rural children. ",,Mixed,-,Mixed,No,ATS only,
ZVM5VMBV,Buck 2015,2015,"Buck, Christoph; Tkaczick, Tobias; Pitsiladis, Yannis; De Bourdehaudhuij, Ilse; Reisch, Lucia; Ahrens, Wolfgang; Pigeot, Iris",Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,Journal of Urban Health,2/1/15,IDEFICS,Moveability; Frank excluding retail; Frank including retail,No,MVPA,accelerometer,,,MVPA (accelerometer),9-Feb,,Germany,"Moveability index was significantly associated with MVPA in school children, not walkability. No significant associations for pre-school children.",,-,Mixed,Mixed,yes,,
GFQGEHBG,Bucko 2021,2021,"Bucko, Agnes G.; Porter, Dwayne E.; Saunders, Ruth; Shirley, Lynn; Dowda, Marsha; Pate, Russell R.",Walkability indices and children's walking behavior in rural vs. urban areas,Health & Place,11/1/21,TRACK,Walk Score; Frank excluding retail; NWI,No,Total PA; walk for exercise,,Total PA (accelerometer),Walking for exercise (self report); Walking for transport (self report),Walking for exercise (self report); Walking for transportation (self report); Total PA (accelerometer),10,,USA,NWI significantly related to reduced walking for transportation overall. Frank significantly related to reduced walking for exercise in rural children. Walk score and NWI related to reduced walking for transportation in urban children. Frank and Walk Score related to reduced Total PA in urban children. ,,Negative,Negative,Negative,yes,No measure of MVPA,
ZVERLUZN,Rahman 2020,2020,"Rahman, Mohammad Lutfur; Pocock, Tessa; Moore, Antoni; Mandic, Sandra","Active Transport to School and School Neighbourhood Built Environment across Urbanisation Settings in Otago, New Zealand",International Journal of Environmental Research and Public Health,2020-01,BEATS,Frank excluding retail,self report,,,,,ATS (self report),15.2 +/- 1.4,1260,New Zealand,ATS rates negatively correlated with school-area walkability. Perception of traffic safety negatively correlated with ATS rates. ,,Negative,-,Negative,No,ATS only,
EYNL7I4F,Caetano 2022,2022,"Caetano, Isabella Toledo; Miranda, Valter Paulo Neves; Santos, Fernanda Karina dos; Amorim, Paulo Roberto dos Santos",Ecological correlates related to adolescent movement behaviors: A latent class analysis,PLOS ONE,7/21/22,,NEWS-Y,No,,accelerometer,LPA (accelerometer),step count (accelerometer),LPA (accelerometer); MVPA (accelerometer); step count (accelerometer),14-16,309,Brazil,"Having better street connectivity, diverse land use, traffic safety, walking easy, made participants more likely to be in the active and non-sedentary class than active and sedentary.",,-,Positive,Positive,No,"LCA, not direct associations",
EBE2HCKB,Caetano 2024,2024,"Caetano, Isabella Toledo; Fermino, Rogerio Cesar; Falcao, Renato de Oliveira; Amorim, Paulo Roberto dos Santos",Built environment and physical activity in adolescents: Use of the kernel density estimation and the walkability index,PLOS ONE,3/19/24,,Novel indicator,,MVPA,accelerometer,,,,14-16,292,Brazil,Highest quartile of walkability was associated with higher odds of sufficient PA,,-,Positive,Positive,No,Association test is not interpretable,
