Short Name,Title,Ages,Genders,PA Type,PA Measurement,Factor,Factor Measurement,Tested,Positive,Negative,Notes
Aibar 2015,"Effect of weather, school transport, and perceived neighborhood characteristics on moderate to vigorous physical activity levels of adolescents from two european cities",14.33 (0.73),All,MVPA,accelerometer,POI Availability,self-report,1,0,0,
Aibar 2015,"Effect of weather, school transport, and perceived neighborhood characteristics on moderate to vigorous physical activity levels of adolescents from two european cities",14.33 (0.73),All,MVPA,accelerometer,Intersection density,self-report,1,0,0,
Aibar 2015,"Effect of weather, school transport, and perceived neighborhood characteristics on moderate to vigorous physical activity levels of adolescents from two european cities",14.33 (0.73),All,MVPA,accelerometer,Walking amentities,self-report,1,0,0,
Aibar 2015,"Effect of weather, school transport, and perceived neighborhood characteristics on moderate to vigorous physical activity levels of adolescents from two european cities",14.33 (0.73),All,MVPA,accelerometer,Aesthetics,self-report,1,0,0,
Aibar 2015,"Effect of weather, school transport, and perceived neighborhood characteristics on moderate to vigorous physical activity levels of adolescents from two european cities",14.33 (0.73),All,MVPA,accelerometer,Traffic Safety,self-report,1,0,0,
Aibar 2015,"Effect of weather, school transport, and perceived neighborhood characteristics on moderate to vigorous physical activity levels of adolescents from two european cities",14.33 (0.73),All,MVPA,accelerometer,Crime Safety,self-report,1,0,0,
Aznar 2024,"Walkability and socio-economic status in relation to walking, playing and sports practice in a representative Spanish sample of youth: The PASOS study",8-16,All,walking,self-report,Walkability Index,GIS,3,1,0,
Aznar 2024,"Walkability and socio-economic status in relation to walking, playing and sports practice in a representative Spanish sample of youth: The PASOS study",8-16,All,MVPA,self-report,Walkability Index,GIS,3,0,0,
Aznar 2024,"Walkability and socio-economic status in relation to walking, playing and sports practice in a representative Spanish sample of youth: The PASOS study",8-16,All,organized sports,self-report,Walkability Index,GIS,6,0,0,
Aznar 2024,"Walkability and socio-economic status in relation to walking, playing and sports practice in a representative Spanish sample of youth: The PASOS study",8-16,All,other PA,self-report,Walkability Index,GIS,3,0,0,
Aznar 2024,"Walkability and socio-economic status in relation to walking, playing and sports practice in a representative Spanish sample of youth: The PASOS study",8-12,All,walking,self-report,Walkability Index,GIS,6,0,0,
Aznar 2024,"Walkability and socio-economic status in relation to walking, playing and sports practice in a representative Spanish sample of youth: The PASOS study",8-12,All,MVPA,self-report,Walkability Index,GIS,5,3,0,Found significant relationships only in urban children
Aznar 2024,"Walkability and socio-economic status in relation to walking, playing and sports practice in a representative Spanish sample of youth: The PASOS study",8-12,All,organized sports,self-report,Walkability Index,GIS,12,2,0,
Aznar 2024,"Walkability and socio-economic status in relation to walking, playing and sports practice in a representative Spanish sample of youth: The PASOS study",8-12,All,other PA,self-report,Walkability Index,GIS,6,0,0,
Aznar 2024,"Walkability and socio-economic status in relation to walking, playing and sports practice in a representative Spanish sample of youth: The PASOS study",13-16,All,walking,self-report,Walkability Index,GIS,6,0,0,
Aznar 2024,"Walkability and socio-economic status in relation to walking, playing and sports practice in a representative Spanish sample of youth: The PASOS study",13-16,All,MVPA,self-report,Walkability Index,GIS,5,0,0,
Aznar 2024,"Walkability and socio-economic status in relation to walking, playing and sports practice in a representative Spanish sample of youth: The PASOS study",13-16,All,organized sports,self-report,Walkability Index,GIS,12,0,0,
Aznar 2024,"Walkability and socio-economic status in relation to walking, playing and sports practice in a representative Spanish sample of youth: The PASOS study",13-16,All,other PA,self-report,Walkability Index,GIS,6,0,0,
Bird 2022,Associations of neighborhood walkability with moderate to vigorous physical activity: an application of compositional data analysis comparing compositional and non-compositional approaches,8-10,Boys,light PA,accelerometer,Walkability Index,GIS; audit,2,0,0,
Bird 2022,Associations of neighborhood walkability with moderate to vigorous physical activity: an application of compositional data analysis comparing compositional and non-compositional approaches,8-10,Boys,MVPA,accelerometer,Walkability Index,GIS; audit,2,0,0,
Bird 2022,Associations of neighborhood walkability with moderate to vigorous physical activity: an application of compositional data analysis comparing compositional and non-compositional approaches,8-10,Girls,light PA,accelerometer,Walkability Index,GIS; audit,2,0,0,
Bird 2022,Associations of neighborhood walkability with moderate to vigorous physical activity: an application of compositional data analysis comparing compositional and non-compositional approaches,8-10,Girls,MVPA,accelerometer,Walkability Index,GIS; audit,2,1,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,2-9,All,MVPA,accelerometer,Recreation Density,GIS,5,2,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,2-9,All,MVPA,accelerometer,Intersection density,GIS,1,0,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,2-9,All,MVPA,accelerometer,Transit density,GIS,1,1,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,2-9,All,MVPA,accelerometer,Residential density,GIS,1,1,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,2-9,All,MVPA,accelerometer,Land use diversity,GIS,1,0,1,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,2-9,All,MVPA,accelerometer,Walkability Index,GIS,2,0,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,2-9,All,MVPA,accelerometer,Moveability Index,GIS,3,3,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,2-6,All,MVPA,accelerometer,Recreation Density,GIS,5,0,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,2-6,All,MVPA,accelerometer,Intersection density,GIS,1,0,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,2-6,All,MVPA,accelerometer,Transit density,GIS,1,0,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,2-6,All,MVPA,accelerometer,Residential density,GIS,1,0,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,2-6,All,MVPA,accelerometer,Land use diversity,GIS,1,0,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,2-6,All,MVPA,accelerometer,Walkability Index,GIS,2,0,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,2-6,All,MVPA,accelerometer,Moveability Index,GIS,3,0,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,6-9,All,MVPA,accelerometer,Recreation Density,GIS,5,2,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,6-9,All,MVPA,accelerometer,Intersection density,GIS,1,1,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,6-9,All,MVPA,accelerometer,Transit density,GIS,1,1,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,6-9,All,MVPA,accelerometer,Residential density,GIS,1,1,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,6-9,All,MVPA,accelerometer,Land use diversity,GIS,1,0,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,6-9,All,MVPA,accelerometer,Walkability Index,GIS,2,0,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,6-9,All,MVPA,accelerometer,Moveability Index,GIS,3,3,0,
Buck 2019,Urban Moveability and physical activity in children: longitudinal results from the IDEFICS and I.Family cohort,3-15,Boys,MVPA,accelerometer,Moveability Index,GIS,1,0,0,
